protocol_id,image_id,edge_strict_count,edge_strict_json,edge_loose_count,edge_loose_json
MM2_0001,day1/members/onanong/10_0700.webp,0,[],1,"[{""x1"":2309,""y1"":1188,""x2"":2763,""y2"":1643}]"
MM2_0002,day1/members/tien/10_0239.webp,0,[],3,"[{""x1"":2202,""y1"":1188,""x2"":2741,""y2"":1864},{""x1"":1642,""y1"":1188,""x2"":2233,""y2"":2008},{""x1"":2670,""y1"":1188,""x2"":3080,""y2"":2160}]"
MM2_0003,day1/members/onanong/10_0305.webp,0,[],3,"[{""x1"":1831,""y1"":1188,""x2"":2408,""y2"":1692},{""x1"":2291,""y1"":1188,""x2"":2705,""y2"":1998},{""x1"":3548,""y1"":1188,""x2"":3840,""y2"":1809}]"
MM2_0004,day1/members/tien/10_0531.webp,0,[],3,"[{""x1"":1359,""y1"":1188,""x2"":2490,""y2"":1831},{""x1"":1512,""y1"":1611,""x2"":1883,""y2"":1837},{""x1"":443,""y1"":1953,""x2"":876,""y2"":2160}]"
MM2_0005,day1/members/bjorn/11_0716.webp,0,[],2,"[{""x1"":0,""y1"":1502,""x2"":662,""y2"":2160},{""x1"":2073,""y1"":1842,""x2"":2401,""y2"":2160}]"
MM2_0006,day1/members/bjorn/11_0618.webp,0,[],0,[]
MM2_0007,day1/members/florian/11_0315.webp,0,[],3,"[{""x1"":0,""y1"":1188,""x2"":702,""y2"":2160},{""x1"":2470,""y1"":1188,""x2"":3368,""y2"":2160},{""x1"":1049,""y1"":1188,""x2"":1709,""y2"":2160}]"
MM2_0008,day1/members/klaus/11_0127.webp,0,[],3,"[{""x1"":640,""y1"":1257,""x2"":1199,""y2"":2160},{""x1"":3003,""y1"":1447,""x2"":3269,""y2"":1862},{""x1"":2101,""y1"":1188,""x2"":2385,""y2"":1823}]"
MM2_0009,day1/members/allie/12_0701.webp,0,[],3,"[{""x1"":2417,""y1"":1543,""x2"":2875,""y2"":2160},{""x1"":2729,""y1"":1479,""x2"":3205,""y2"":1676},{""x1"":2755,""y1"":1333,""x2"":3219,""y2"":1501}]"
MM2_0010,day1/members/onanong/12_0397.webp,0,[],2,"[{""x1"":1959,""y1"":1696,""x2"":2742,""y2"":2160},{""x1"":470,""y1"":1188,""x2"":899,""y2"":1894}]"
