image_id,boxes_json
day1/members/onanong/10_0700.webp,"[{""x1"":1551,""y1"":508,""x2"":2127,""y2"":976}]"
day1/members/tien/10_0239.webp,"[{""x1"":1644,""y1"":1632,""x2"":2235,""y2"":2016},{""x1"":958,""y1"":1285,""x2"":1363,""y2"":1647},{""x1"":1079,""y1"":1623,""x2"":1173,""y2"":1737}]"
day1/members/onanong/10_0305.webp,"[{""x1"":1833,""y1"":1276,""x2"":2403,""y2"":1704},{""x1"":1128,""y1"":632,""x2"":1705,""y2"":1089}]"
day1/members/tien/10_0531.webp,"[{""x1"":2571,""y1"":1836,""x2"":3123,""y2"":2028},{""x1"":378,""y1"":1815,""x2"":767,""y2"":2133},{""x1"":2271,""y1"":1110,""x2"":2376,""y2"":1228},{""x1"":2928,""y1"":1233,""x2"":3444,""y2"":1740},{""x1"":2820,""y1"":889,""x2"":3366,""y2"":1381},{""x1"":2088,""y1"":735,""x2"":2520,""y2"":1176},{""x1"":3636,""y1"":1458,""x2"":3840,""y2"":1788}]"
day1/members/bjorn/11_0716.webp,"[{""x1"":3420,""y1"":1159,""x2"":3576,""y2"":1332},{""x1"":3420,""y1"":1156,""x2"":3792,""y2"":1347},{""x1"":3426,""y1"":1030,""x2"":3834,""y2"":1369}]"
day1/members/bjorn/11_0618.webp,[]
day1/members/florian/11_0315.webp,"[{""x1"":0,""y1"":1875,""x2"":436,""y2"":2091}]"
day1/members/klaus/11_0127.webp,[]
day1/members/allie/12_0701.webp,"[{""x1"":1657,""y1"":1123,""x2"":2443,""y2"":2146},{""x1"":2610,""y1"":1008,""x2"":3393,""y2"":2016},{""x1"":262,""y1"":774,""x2"":539,""y2"":1047},{""x1"":0,""y1"":1098,""x2"":162,""y2"":1557}]"
day1/members/onanong/12_0397.webp,"[{""x1"":2226,""y1"":1239,""x2"":2862,""y2"":1644},{""x1"":3049,""y1"":1416,""x2"":3300,""y2"":1827},{""x1"":2991,""y1"":1413,""x2"":3465,""y2"":2064}]"
day1/members/onanong/12_0645.webp,"[{""x1"":1608,""y1"":1237,""x2"":2184,""y2"":1600},{""x1"":2340,""y1"":1391,""x2"":2556,""y2"":1734}]"
day1/members/onanong/12_0150.webp,"[{""x1"":1854,""y1"":1188,""x2"":2439,""y2"":1539},{""x1"":2623,""y1"":1378,""x2"":2812,""y2"":1744}]"
day1/members/onanong/13_0656.webp,"[{""x1"":1481,""y1"":6,""x2"":2310,""y2"":652},{""x1"":2676,""y1"":1140,""x2"":3120,""y2"":1512},{""x1"":2164,""y1"":1413,""x2"":2329,""y2"":1797},{""x1"":1298,""y1"":1218,""x2"":2205,""y2"":1791},{""x1"":2724,""y1"":1139,""x2"":3126,""y2"":1415}]"
day1/members/allie/13_0023.webp,"[{""x1"":2424,""y1"":1217,""x2"":3138,""y2"":2154}]"
day1/members/werner/13_0227.webp,[]
day1/members/onanong/13_0418.webp,"[{""x1"":1557,""y1"":1287,""x2"":2115,""y2"":1614},{""x1"":2275,""y1"":1503,""x2"":2449,""y2"":1839},{""x1"":3528,""y1"":1617,""x2"":3696,""y2"":1725}]"
day1/members/allie/14_0032.webp,"[{""x1"":2805,""y1"":936,""x2"":3144,""y2"":1146}]"
day1/members/cathal/14_0438.webp,[]
day1/members/luca/14_0671.webp,"[{""x1"":1001,""y1"":1446,""x2"":1275,""y2"":1791},{""x1"":1641,""y1"":1888,""x2"":1767,""y2"":2059},{""x1"":1641,""y1"":1888,""x2"":1785,""y2"":2104}]"
day1/members/tien/14_0109.webp,"[{""x1"":2233,""y1"":898,""x2"":2578,""y2"":1129},{""x1"":2380,""y1"":1371,""x2"":2554,""y2"":1503}]"
day1/members/luca/15_0032.webp,"[{""x1"":1668,""y1"":1393,""x2"":1992,""y2"":1747},{""x1"":3012,""y1"":1920,""x2"":3084,""y2"":2010}]"
day1/members/onanong/15_0174.webp,[]
day1/members/onanong/15_0421.webp,"[{""x1"":861,""y1"":1842,""x2"":1065,""y2"":2028}]"
day1/members/florian/15_0596.webp,"[{""x1"":1539,""y1"":1033,""x2"":2799,""y2"":2143},{""x1"":5,""y1"":841,""x2"":1460,""y2"":2149}]"
day1/members/werner/16_0501.webp,"[{""x1"":2178,""y1"":1857,""x2"":2466,""y2"":2145}]"
day1/members/werner/16_0278.webp,"[{""x1"":3025,""y1"":1143,""x2"":3252,""y2"":1279}]"
day1/members/florian/16_0046.webp,[]
day1/members/cathal/16_0128.webp,[]
day1/members/klaus/17_0225.webp,[]
day1/members/cathal/17_0482.webp,[]
day1/members/stevan/17_0713.webp,"[{""x1"":3156,""y1"":498,""x2"":3534,""y2"":675}]"
day1/members/tien/17_0143.webp,"[{""x1"":2614,""y1"":1692,""x2"":2710,""y2"":1788}]"
day1/members/werner/18_0025.webp,[]
day1/members/cathal/18_0506.webp,"[{""x1"":1357,""y1"":351,""x2"":1996,""y2"":833}]"
day1/members/luca/18_0100.webp,"[{""x1"":2106,""y1"":729,""x2"":3834,""y2"":2127}]"
day1/members/bjorn/18_0423.webp,[]
day1/members/werner/19_0440.webp,[]
day1/members/onanong/19_0549.webp,[]
day1/members/allie/19_0644.webp,"[{""x1"":2913,""y1"":1443,""x2"":3837,""y2"":2145},{""x1"":2169,""y1"":1437,""x2"":3837,""y2"":2151}]"
day1/members/tien/19_0234.webp,[]
day1/members/florian/20_0272.webp,"[{""x1"":3246,""y1"":4,""x2"":3834,""y2"":706}]"
day1/members/florian/20_0329.webp,"[{""x1"":3240,""y1"":5,""x2"":3840,""y2"":704},{""x1"":451,""y1"":636,""x2"":633,""y2"":736},{""x1"":2196,""y1"":430,""x2"":2508,""y2"":1066}]"
day1/members/cathal/20_0173.webp,"[{""x1"":1737,""y1"":1989,""x2"":2118,""y2"":2139},{""x1"":1599,""y1"":1018,""x2"":1983,""y2"":1287},{""x1"":2124,""y1"":1456,""x2"":2649,""y2"":1822}]"
day1/members/onanong/20_0021.webp,"[{""x1"":22,""y1"":1662,""x2"":1011,""y2"":2148},{""x1"":1278,""y1"":1980,""x2"":1650,""y2"":2157},{""x1"":1285,""y1"":1980,""x2"":1647,""y2"":2157}]"
day1/members/cathal/08_0423.webp,[]
day1/members/luca/08_0255.webp,"[{""x1"":2526,""y1"":138,""x2"":2718,""y2"":267},{""x1"":1710,""y1"":794,""x2"":1821,""y2"":866},{""x1"":1,""y1"":275,""x2"":671,""y2"":1392},{""x1"":337,""y1"":65,""x2"":860,""y2"":1145},{""x1"":0,""y1"":283,""x2"":580,""y2"":1123},{""x1"":3,""y1"":63,""x2"":864,""y2"":1149},{""x1"":1287,""y1"":1638,""x2"":2727,""y2"":2148},{""x1"":1764,""y1"":558,""x2"":1944,""y2"":782},{""x1"":1722,""y1"":317,""x2"":2130,""y2"":546}]"
day1/members/werner/08_0632.webp,[]
day1/members/florian/08_0344.webp,[]
day1/members/onanong/09_0581.webp,"[{""x1"":181,""y1"":1188,""x2"":2002,""y2"":2145},{""x1"":2370,""y1"":1648,""x2"":3228,""y2"":2146},{""x1"":684,""y1"":1169,""x2"":2052,""y2"":2142}]"
day1/members/luca/09_0045.webp,[]
day1/members/onanong/09_0482.webp,"[{""x1"":1521,""y1"":1368,""x2"":3132,""y2"":2148}]"
day1/members/onanong/09_0283.webp,"[{""x1"":1485,""y1"":1662,""x2"":2376,""y2"":2148},{""x1"":1593,""y1"":1161,""x2"":2169,""y2"":1659}]"
day2/members/tien/10_0485.webp,[]
day2/members/florian/10_0037.webp,[]
day2/members/klaus/10_0583.webp,[]
day2/members/klaus/10_0709.webp,[]
day2/members/stevan/11_0550.webp,"[{""x1"":2200,""y1"":1507,""x2"":2332,""y2"":1618}]"
day2/members/stevan/11_0346.webp,"[{""x1"":16,""y1"":627,""x2"":159,""y2"":845}]"
