protocol_id,image_id,predicted_risk_state,privacy_score,utility_score,residual_classes,freeze_disposition,open_enhancement
MM2_0148,day3/members/florian/20_0568.webp,no_text_screen_risk,0.0,1.0,missed_text_presence|residual_text_readability,frozen_detector_incapable_text,False
MM2_0023,day1/members/onanong/15_0421.webp,text_present,0.0,0.9877621603962476,residual_text_readability,frozen_localisation_or_ocr_residual,False
MM2_0030,day1/members/cathal/17_0482.webp,text_present,0.0,0.9259140599219976,residual_text_readability,frozen_localisation_or_ocr_residual,False
MM2_0041,day1/members/florian/20_0272.webp,text_and_screen_present,0.4429412287633832,0.3947816314174084,residual_text_readability|utility_below_050,frozen_localisation_or_ocr_residual,False
MM2_0128,day3/members/cathal/15_0532.webp,text_present,0.0020590267890916,0.754720752766272,residual_text_readability,frozen_localisation_or_ocr_residual,False
MM2_0155,day3/members/cathal/09_0670.webp,text_and_screen_present,0.5095317353832994,0.4293090437548318,residual_text_readability|utility_below_050,frozen_localisation_or_ocr_residual,False
MM2_0180,day4/members/luca/15_0400.webp,text_and_screen_present,0.0,0.6755131191268078,insufficient_screen_obscuration,frozen_low_iou_screen_hyp,False
MM2_0004,day1/members/tien/10_0531.webp,screen_present,1.0,0.4519598901880506,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0015,day1/members/werner/13_0227.webp,text_and_screen_present,0.9859043640485342,0.4736725162490953,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0024,day1/members/florian/15_0596.webp,text_and_screen_present,0.927946239231353,0.4116089868927367,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0027,day1/members/florian/16_0046.webp,text_and_screen_present,0.7978844249266132,0.3923469932925527,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0051,day1/members/onanong/09_0482.webp,screen_present,0.7073155441465773,0.4315358635781576,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0052,day1/members/onanong/09_0283.webp,text_and_screen_present,0.9453754433401612,0.4877375591699079,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0062,day2/members/luca/12_0322.webp,text_and_screen_present,0.9056583759675012,0.3940696063390152,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0074,day2/members/klaus/15_0290.webp,text_and_screen_present,0.9972101066084552,0.381167936819936,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0079,day2/members/allie/16_0461.webp,text_and_screen_present,0.9992494700160762,0.3503743595503163,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0087,day2/members/cathal/18_0165.webp,screen_present,0.9868558183622482,0.3492330138482707,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0089,day2/members/cathal/19_0065.webp,text_and_screen_present,0.8622374279259636,0.4698737837486459,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0102,day2/members/florian/09_0551.webp,text_and_screen_present,0.7540326475482441,0.4329984955755785,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0107,day3/members/bjorn/10_0208.webp,text_and_screen_present,0.7785662614509812,0.4626598499830061,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0109,day3/members/klaus/11_0126.webp,text_and_screen_present,0.994055516396527,0.3008445721242738,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0111,day3/members/klaus/11_0085.webp,text_and_screen_present,0.9538455168643304,0.317399491886783,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0116,day3/members/onanong/12_0079.webp,text_and_screen_present,0.990995404026531,0.4662005103154014,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0121,day3/members/stevan/14_0173.webp,screen_present,0.7138298656562851,0.4342338393351881,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0124,day3/members/stevan/14_0340.webp,screen_present,0.7059452217955913,0.4633249099445037,utility_below_050,frozen_screen_fill_utility_cost,False
