policy,split,n,mean_privacy,mean_utility,mean_score,utility_below_050,utility_below_050_rate
adaptive_max_score,development,175,0.8818279313876868,0.665536415406825,0.8395117985284309,80,0.45714285714285713
adaptive_max_score,test,75,0.8812882160435199,0.6633512044632399,0.8387135427446951,37,0.49333333333333335
adaptive_utility_aware,development,175,0.8818279313876868,0.665536415406825,0.8395117985284309,80,0.45714285714285713
adaptive_utility_aware,test,75,0.8812882160435199,0.6633512044632399,0.8387135427446951,37,0.49333333333333335
adaptive_hybrid_utility_screen,development,175,0.8818279313876868,0.665536415406825,0.8395117985284309,80,0.45714285714285713
adaptive_hybrid_utility_screen,test,75,0.8812882160435199,0.6633512044632399,0.8387135427446951,37,0.49333333333333335
fixed::text_blur_screen_fill,development,175,0.8703993599591152,0.6655364154068248,0.8336503871072705,80,0.45714285714285713
fixed::text_blur_screen_fill,test,75,0.8679548827101864,0.6633512044632399,0.8318676823726304,37,0.49333333333333335
fixed::text_blur_screen_blur,development,175,0.5880959656209552,0.7216776846430222,0.7081363987194472,65,0.37142857142857144
fixed::text_blur_screen_blur,test,75,0.5812095121323503,0.7150595004521886,0.7027961767004618,29,0.38666666666666666
fixed::text_fill_screen_fill,development,175,0.8820939305668134,0.6220907125184798,0.8265980297726461,92,0.5257142857142857
fixed::text_fill_screen_fill,test,75,0.8861180830464961,0.6260060175613547,0.829809684510406,39,0.52
