label,support,precision,recall,f1,f2,route_eligible,included_in_primary_score,method_id,feature_set,estimator,route_influence
downward_egocentric_view,242,0.3598971722365038,0.5785123966942148,0.4437400950871632,0.5158437730287398,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
edge_or_partial_face,376,0.8011204481792717,0.7606382978723404,0.7803547066848567,0.7684040838259001,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,True
high_clutter,360,0.8625954198473282,0.9416666666666668,0.900398406374502,0.9247135842880524,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,True
large_face,42,0.1324503311258278,0.4761904761904761,0.2072538860103626,0.3134796238244514,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
low_light_or_dim,199,0.8495575221238938,0.964824120603015,0.903529411764706,0.9393346379647748,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,True
medium_face,223,0.4241645244215938,0.7399103139013453,0.5392156862745098,0.6440281030444965,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
mixed_scale_face,171,0.4463087248322148,0.7777777777777778,0.5671641791044776,0.6771894093686355,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
motion_blur_or_low_sharpness,194,0.6784313725490196,0.8917525773195877,0.7706013363028953,0.8389912706110573,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,True
multi_face,556,0.9527272727272728,0.9424460431654677,0.9475587703435804,0.9444844989185291,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,True
no_face,283,0.8422712933753943,0.9434628975265018,0.89,0.9213250517598344,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,True
outdoor_or_vehicle_scene,23,0.4102564102564102,0.6956521739130435,0.5161290322580645,0.6106870229007634,False,False,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
profile_or_occluded_face,206,0.3560606060606061,0.6844660194174758,0.4684385382059801,0.5778688524590164,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
single_face,161,0.4712643678160919,0.7639751552795031,0.5829383886255924,0.6795580110497238,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
small_face,229,0.5052910052910053,0.834061135371179,0.6293245469522241,0.7380216383307573,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,False
