modality,variant,precision,recall,f1,f2,strict_iou50_precision,strict_iou50_recall,exploratory_oapr_multimodal_score,oapr_deployment_partial_detection_score,is_locked_selected
text,craft_documented_default,0.0166112956810631,0.8,0.032546786004882,0.0766871165644171,0.0027685492801771,0.2,0.5297978260693268,0.6232366450201888,False
text,craft_recall_4k,0.0177215189873417,0.84,0.0347107438016528,0.0817120622568093,0.0055834729201563,0.4,0.5564498378491474,0.6333476673508166,True
text,doctr_db_resnet50,0.0069348127600554,0.2,0.0134048257372654,0.0304506699147381,0.0,0.0,0.1340446877103219,0.4722689967280881,False
screen,yolov8n_coco_640_conf025,0.4878048780487805,0.4761904761904761,0.4819277108433735,0.4784688995215311,0.4761904761904761,0.4761904761904761,0.4787862250395309,0.5717161294897705,False
screen,yolov8n_coco_1280_conf025,0.3050847457627119,0.4285714285714285,0.3564356435643565,0.3964757709251101,0.28125,0.4285714285714285,0.3981888140387889,0.52342743901358,False
screen,yolo11n_coco_640_conf025,0.5416666666666666,0.6190476190476191,0.5777777777777778,0.6018518518518519,0.52,0.6190476190476191,0.6009920634920636,0.6354304152040563,False
screen,yolo11n_coco_1280_conf025,0.5384615384615384,0.6666666666666666,0.5957446808510638,0.6363636363636364,0.5185185185185185,0.6666666666666666,0.6361156573922532,0.654255812029453,False
screen,yolo11n_coco_1280_conf010,0.3333333333333333,0.6904761904761905,0.4496124031007752,0.5686274509803921,0.3186813186813186,0.6904761904761905,0.594545957918051,0.6338040415776827,False
screen,yolo26n_coco_640_conf025,0.575,0.5476190476190477,0.5609756097560975,0.5528846153846155,0.5476190476190477,0.5476190476190477,0.5536962833914054,0.6110018437754848,False
screen,yolo26n_coco_640_conf040,0.625,0.4761904761904761,0.5405405405405405,0.4999999999999999,0.6060606060606061,0.4761904761904761,0.5071589446589446,0.59119664897029,False
screen,yolo11n_coco_640_1280_union,0.4576271186440678,0.6428571428571429,0.5346534653465347,0.5947136563876653,0.4426229508196721,0.6428571428571429,0.5972832210581833,0.6333476673508166,True
screen,yolo11n_coco_640_1280_recall_union,0.3103448275862069,0.6428571428571429,0.4186046511627907,0.5294117647058824,0.3033707865168539,0.6428571428571429,0.5535427884064612,0.6124598427053939,False
text,craft_recall_4k_with_screen_priority,0.0678571428571428,0.76,0.1245901639344262,0.25,0.0114547537227949,0.4,0.5319332552693209,0.6183612297377967,False
