source,method_id,feature_set,estimator,macro_f2,macro_f1,micro_f2,sample_jaccard,route_eligible_label_count,exploratory_scene_score,oapr_deployment_condition_score
post_detection_condition_benchmark,post_detection_oracle_reviewed_boxes,,,0.995882,0.995882,0.995498,0.990733,12,0.99531,0.9953671000000001
post_detection_condition_benchmark,hybrid_scr_plus_reviewed_boxes_upper_bound,,,0.939099,0.926555,0.932376,0.842495,11,0.925294,0.9269297999999999
post_detection_condition_benchmark,fixed_policy_detector_telemetry_multiclass_scale_hybrid_available_handoff_boxes,,,0.933579,0.926823,0.932814,0.870605,12,0.925478,0.9259303999999999
post_detection_condition_benchmark,selective_cv_hybrid_reviewed_boxes_upper_bound,,,0.923146,0.894867,0.935076,0.814752,10,0.907026,0.9066507999999999
post_detection_condition_benchmark,cv_crop_conflict_reviewed_boxes_upper_bound,,,0.922503,0.893271,0.934609,0.813186,10,0.906079,0.9057248999999999
post_detection_condition_benchmark,selective_cv_detector_disagreement_reviewed_boxes_upper_bound,,,0.916269,0.894848,0.925693,0.820948,10,0.902795,0.9024526999999999
post_detection_condition_benchmark,cv_detector_disagreement_reviewed_boxes_upper_bound,,,0.916069,0.894355,0.925576,0.820852,10,0.902545,0.9022045
post_detection_condition_benchmark,fixed_policy_detector_telemetry_hybrid_available_handoff_boxes,,,0.892021,0.87706,0.900329,0.817914,12,0.882116,0.8816180999999998
post_detection_condition_benchmark,final_hybrid_condition_profile_available_handoff_boxes,,,0.888668,0.862577,0.896793,0.796957,12,0.874193,0.8742787
post_detection_condition_benchmark,selective_cv_hybrid_available_handoff_boxes,,,0.877189,0.856872,0.888343,0.791795,12,0.865243,0.8645862
post_detection_condition_benchmark,cv_crop_conflict_available_handoff_boxes,,,0.876334,0.854755,0.887408,0.788795,12,0.863847,0.8632643
post_detection_condition_benchmark,selective_cv_detector_disagreement_available_handoff_boxes,,,0.868952,0.853793,0.879173,0.785562,12,0.858356,0.8575811999999998
post_detection_condition_benchmark,cv_detector_disagreement_available_handoff_boxes,,,0.867865,0.851936,0.877966,0.783545,12,0.856966,0.8562472
post_detection_condition_benchmark,selective_cv_hybrid_reviewed_boxes_upper_bound,,,0.853221,0.819223,0.864505,0.741645,9,0.835256,0.8352637999999999
post_detection_condition_benchmark,cv_crop_conflict_reviewed_boxes_upper_bound,,,0.852586,0.817671,0.864105,0.740555,9,0.834382,0.8343999
post_detection_condition_benchmark,selective_cv_detector_disagreement_reviewed_boxes_upper_bound,,,0.831379,0.805094,0.844882,0.718155,9,0.815511,0.8147996
post_detection_condition_benchmark,cv_detector_disagreement_reviewed_boxes_upper_bound,,,0.830334,0.80337,0.843906,0.715712,9,0.814166,0.8134790000000001
post_detection_condition_benchmark,hybrid_scr_plus_reviewed_boxes_upper_bound,,,0.818697,0.794579,0.829531,0.704581,8,0.802881,0.8024618
post_detection_condition_benchmark,hybrid_scr_plus_available_handoff_boxes,,,0.81542,0.791559,0.826408,0.702976,8,0.799858,0.7994034
post_detection_condition_benchmark,handcrafted_yolo_multiscale__logistic_regression,,,0.785739,0.731974,0.812454,0.63991,7,0.761722,0.7604031
post_detection_condition_benchmark,handcrafted_yolo_multiscale__logistic_regression,,,0.764047,0.707916,0.784203,0.608456,6,0.737478,0.7372616999999999
scene_condition_router_benchmark,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,0.725324656362477,0.6555752155713054,0.7789144643364592,0.5810833333333334,6,0.701501635057867,0.6969506359013283
scene_condition_router_benchmark,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,0.7147138649450255,0.6529019746071772,0.7691205137025571,0.580613492063492,6,0.6940118523860398,0.6889414495893025
post_detection_condition_benchmark,post_detection_oracle_reviewed_boxes,,,0.696131,0.693209,0.717066,0.626167,7,0.691544,0.6885502
post_detection_condition_benchmark,post_detection_available_handoff_boxes,,,0.692854,0.690189,0.713764,0.623262,7,0.688365,0.6853617999999999
scene_condition_router_benchmark,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,0.7156333894272471,0.6425708256872047,0.7656382677611095,0.5573690476190476,5,0.6890420460614959,0.6851944424984187
scene_condition_router_benchmark,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression,0.7135649432243313,0.641253565371512,0.7716206292718748,0.5646765873015872,6,0.6893066160759835,0.684213832061493
scene_condition_router_benchmark,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,0.6759779532384389,0.601500298548107,0.71400713171384,0.4808162698412698,3,0.6435467479974492,0.6415662539606556
scene_condition_router_benchmark,yolo640_only__logistic_regression,yolo640_only,logistic_regression,0.6791696005860812,0.5879002787896243,0.7158493870402802,0.4659962121212121,3,0.6405368992586099,0.6395983973803029
scene_condition_router_benchmark,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,0.6756528885183722,0.5901513199066966,0.7132624387018569,0.4686361111111112,3,0.6392172511522499,0.637850897055311
scene_condition_router_benchmark,scrfd_only__logistic_regression,scrfd_only,logistic_regression,0.66951617883366,0.5911947331461469,0.7037077968724098,0.4611182539682539,2,0.6342247676310535,0.6330120972096167
scene_condition_router_benchmark,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression,0.6135299044228558,0.514907172980495,0.6671018276762402,0.3881150432900432,3,0.5743685239369921,0.5712638720211023
