split,variant,n_images,privacy_deployment,utility_deployment,runtime_mean,runtime_score,oapr_deployment_multimodal_redaction_score,exploratory_multimodal_score
test,text_blur_screen_blur,75,0.6405259309821048,0.8974555386679525,0.023264295013699008,0.9883678524931505,0.7529706128143062,0.7027961767004618
all,text_blur_screen_blur,250,0.6440661488178236,0.8971252670727247,0.023883514891669577,0.9880582425541652,0.7549801815402198,0.7065343321137516
test,text_blur_screen_fill,75,0.8687091490517218,0.8703627004796762,0.011151203214346074,0.9944243983928269,0.8820555194945774,0.8318676823726304
all,text_blur_screen_fill,250,0.8705538957295191,0.8686265596743906,0.011816883424646173,0.9940915582876769,0.8826248832544126,0.8331155756868786
test,text_fill_screen_blur,75,0.6585592639817311,0.882472821985694,0.022774998173699667,0.9886125009131501,0.7593080300304045,0.6989280095236441
all,text_fill_screen_blur,250,0.6576266012578205,0.8808489300522699,0.02320867849647761,0.9883956607517612,0.7582504228079613,0.6993557323437173
test,text_fill_screen_fill,75,0.8867424820513484,0.8571751247558246,0.010511622812482474,0.9947441885937588,0.8889352360872445,0.829809684510406
all,text_fill_screen_fill,250,0.8841143481695157,0.853929221398908,0.010686531707877242,0.9946567341460614,0.886380212028685,0.827561526193974
test,text_pixelate_screen_blur,75,0.6364289177228434,0.9005283256713961,0.022336845826745607,0.9888315770866272,0.7514574271894562,0.7035132743494533
all,text_pixelate_screen_blur,250,0.6425507578804384,0.9010771870026499,0.02281544668093552,0.9885922766595322,0.7552832246620347,0.7093485195784051
test,text_pixelate_screen_pixelate,75,0.5946861757303128,0.9437906270803302,0.012350677305560822,0.9938246613472196,0.7396401266296478,0.7163513575402947
all,text_pixelate_screen_pixelate,250,0.6000811953384602,0.9389160210480699,0.012595075835590204,0.9937024620822049,0.7414086466216073,0.7162336359862677
