privacy_weight,utility_weight,method,score,eligible_default_policy
0.4,0.5,reverse_personalization,0.8733256385461715,False
0.4,0.5,solid_mask_black,0.8383383507320517,True
0.4,0.5,riddle,0.8377426415527126,False
0.4,0.5,layered_blur_downscale_noise,0.8435291398862084,True
0.4,0.5,diffusion_low_step,0.8216395298762631,False
0.4,0.5,blur,0.8212871783205566,True
0.4,0.5,falco,0.7895185839512795,False
0.4,0.5,nullface,0.7590687186355287,False
0.4,0.5,pixelate,0.7387119104022489,False
0.5,0.4,reverse_personalization,0.8564739887351858,False
0.5,0.4,solid_mask_black,0.8171240792096413,True
0.5,0.4,riddle,0.8160581648453261,False
0.5,0.4,layered_blur_downscale_noise,0.8149896689592524,True
0.5,0.4,diffusion_low_step,0.792965314642569,False
0.5,0.4,blur,0.7854522538404454,True
0.5,0.4,falco,0.7683978671610237,False
0.5,0.4,nullface,0.729924104778553,False
0.5,0.4,pixelate,0.6805355652883446,False
0.55,0.35,reverse_personalization,0.8480481638296928,False
0.55,0.35,solid_mask_black,0.806516943448436,True
0.55,0.35,riddle,0.8052159264916328,False
0.55,0.35,layered_blur_downscale_noise,0.8007199334957744,True
0.55,0.35,diffusion_low_step,0.7786282070257219,False
0.55,0.35,blur,0.7675347916003896,True
0.55,0.35,falco,0.7578375087658957,False
0.55,0.35,nullface,0.715351797850065,False
0.55,0.35,pixelate,0.6514473927313924,False
0.6,0.30000000000000004,reverse_personalization,0.8396223389241999,False
0.6,0.30000000000000004,solid_mask_black,0.7959098076872311,True
0.6,0.30000000000000004,riddle,0.7943736881379396,False
0.6,0.30000000000000004,layered_blur_downscale_noise,0.7864501980322964,True
0.6,0.30000000000000004,diffusion_low_step,0.7642910994088749,False
0.6,0.30000000000000004,blur,0.7496173293603341,True
0.6,0.30000000000000004,falco,0.7472771503707678,False
0.6,0.30000000000000004,nullface,0.700779490921577,False
0.6,0.30000000000000004,pixelate,0.6223592201744403,False
0.7,0.20000000000000007,reverse_personalization,0.8227706891132143,False
0.7,0.20000000000000007,solid_mask_black,0.7746955361648207,True
0.7,0.20000000000000007,riddle,0.772689211430553,False
0.7,0.20000000000000007,layered_blur_downscale_noise,0.7579107271053405,True
0.7,0.20000000000000007,diffusion_low_step,0.7356168841751807,False
0.7,0.20000000000000007,blur,0.7137824048802227,True
0.7,0.20000000000000007,falco,0.726156433580512,False
0.7,0.20000000000000007,nullface,0.6716348770646012,False
0.7,0.20000000000000007,pixelate,0.564182875060536,False
