negative_pair_id,positive_pair_id,egocentric_relative_path,exocentric_relative_path,negative_pair_construction,day_id,note
neg-0000,day1::08_0198::tien::kitchen,day1/members/tien/08_0198.webp,day1/fixed/kitchen/08_0198.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0001,day1::09_0350::cathal::kitchen,day1/members/cathal/09_0350.webp,day1/fixed/kitchen/09_0350.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0002,day1::11_0592::onanong::kitchen,day1/members/onanong/11_0592.webp,day1/fixed/kitchen/11_0592.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0003,day1::17_0312::klaus::kitchen,day1/members/klaus/17_0312.webp,day1/fixed/kitchen/17_0312.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0004,day1::08_0713::cathal::living1,day1/members/cathal/08_0713.webp,day1/fixed/living1/08_0713.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0005,day1::08_0716::allie::living1,day1/members/allie/08_0716.webp,day1/fixed/living1/08_0716.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0006,day1::09_0080::luca::living1,day1/members/luca/09_0080.webp,day1/fixed/living1/09_0080.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0007,day1::10_0323::florian::living1,day1/members/florian/10_0323.webp,day1/fixed/living1/10_0323.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0008,day1::11_0219::werner::living1,day1/members/werner/11_0219.webp,day1/fixed/living1/11_0219.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0009,day1::11_0291::bjorn::living1,day1/members/bjorn/11_0291.webp,day1/fixed/living1/11_0291.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0010,day1::14_0131::luca::living1,day1/members/luca/14_0131.webp,day1/fixed/living1/14_0131.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0011,day1::14_0591::cathal::living1,day1/members/cathal/14_0591.webp,day1/fixed/living1/14_0591.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0012,day1::15_0689::cathal::living1,day1/members/cathal/15_0689.webp,day1/fixed/living1/15_0689.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0013,day1::17_0055::klaus::living1,day1/members/klaus/17_0055.webp,day1/fixed/living1/17_0055.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0014,day1::18_0713::onanong::living1,day1/members/onanong/18_0713.webp,day1/fixed/living1/18_0713.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0015,day1::19_0432::allie::living1,day1/members/allie/19_0432.webp,day1/fixed/living1/19_0432.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0016,day1::09_0610::allie::living2,day1/members/allie/09_0610.webp,day1/fixed/living2/09_0610.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0017,day1::11_0393::onanong::living2,day1/members/onanong/11_0393.webp,day1/fixed/living2/11_0393.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
