pair_id,egocentric_relative_path,exocentric_relative_path,failure_category,skip_reason,note
day1::09_0455::werner::kitchen,day1/members/werner/09_0455.webp,day1/fixed/kitchen/09_0455.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0007::stevan::kitchen,day1/members/stevan/10_0007.webp,day1/fixed/kitchen/10_0007.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0176::luca::kitchen,day1/members/luca/10_0176.webp,day1/fixed/kitchen/10_0176.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0231::luca::kitchen,day1/members/luca/10_0231.webp,day1/fixed/kitchen/10_0231.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0605::allie::kitchen,day1/members/allie/10_0605.webp,day1/fixed/kitchen/10_0605.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0696::onanong::kitchen,day1/members/onanong/11_0696.webp,day1/fixed/kitchen/11_0696.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::13_0312::allie::kitchen,day1/members/allie/13_0312.webp,day1/fixed/kitchen/13_0312.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::16_0293::florian::kitchen,day1/members/florian/16_0293.webp,day1/fixed/kitchen/16_0293.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::17_0645::florian::kitchen,day1/members/florian/17_0645.webp,day1/fixed/kitchen/17_0645.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0178::werner::living1,day1/members/werner/10_0178.webp,day1/fixed/living1/10_0178.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0508::bjorn::living1,day1/members/bjorn/11_0508.webp,day1/fixed/living1/11_0508.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::15_0028::allie::living1,day1/members/allie/15_0028.webp,day1/fixed/living1/15_0028.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::18_0471::onanong::living1,day1/members/onanong/18_0471.webp,day1/fixed/living1/18_0471.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::19_0552::luca::living1,day1/members/luca/19_0552.webp,day1/fixed/living1/19_0552.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::19_0648::bjorn::living1,day1/members/bjorn/19_0648.webp,day1/fixed/living1/19_0648.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0178::klaus::living2,day1/members/klaus/10_0178.webp,day1/fixed/living2/10_0178.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0590::cathal::living2,day1/members/cathal/10_0590.webp,day1/fixed/living2/10_0590.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0625::onanong::living2,day1/members/onanong/11_0625.webp,day1/fixed/living2/11_0625.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::13_0645::werner::living2,day1/members/werner/13_0645.webp,day1/fixed/living2/13_0645.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::13_0688::bjorn::living2,day1/members/bjorn/13_0688.webp,day1/fixed/living2/13_0688.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::18_0084::cathal::living2,day1/members/cathal/18_0084.webp,day1/fixed/living2/18_0084.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0659::klaus::meeting,day1/members/klaus/11_0659.webp,day1/fixed/meeting/11_0659.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::12_0228::cathal::meeting,day1/members/cathal/12_0228.webp,day1/fixed/meeting/12_0228.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::12_0394::luca::meeting,day1/members/luca/12_0394.webp,day1/fixed/meeting/12_0394.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::13_0229::werner::meeting,day1/members/werner/13_0229.webp,day1/fixed/meeting/13_0229.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::14_0609::onanong::meeting,day1/members/onanong/14_0609.webp,day1/fixed/meeting/14_0609.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::17_0222::florian::meeting,day1/members/florian/17_0222.webp,day1/fixed/meeting/17_0222.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::18_0210::cathal::meeting,day1/members/cathal/18_0210.webp,day1/fixed/meeting/18_0210.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::20_0028::cathal::meeting,day1/members/cathal/20_0028.webp,day1/fixed/meeting/20_0028.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::10_0459::florian::reading,day1/members/florian/10_0459.webp,day1/fixed/reading/10_0459.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0090::klaus::reading,day1/members/klaus/11_0090.webp,day1/fixed/reading/11_0090.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0498::bjorn::reading,day1/members/bjorn/11_0498.webp,day1/fixed/reading/11_0498.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0508::tien::reading,day1/members/tien/11_0508.webp,day1/fixed/reading/11_0508.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::12_0025::allie::reading,day1/members/allie/12_0025.webp,day1/fixed/reading/12_0025.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::14_0135::bjorn::reading,day1/members/bjorn/14_0135.webp,day1/fixed/reading/14_0135.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::10_0716::onanong::kitchen,day2/members/onanong/10_0716.webp,day2/fixed/kitchen/10_0716.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::14_0186::onanong::kitchen,day2/members/onanong/14_0186.webp,day2/fixed/kitchen/14_0186.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::15_0553::luca::kitchen,day2/members/luca/15_0553.webp,day2/fixed/kitchen/15_0553.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
