rq,method,metric,n,mean,ci_low,ci_high,source,status,reason
RQ2,blur,AdaFace_reid_rate,500,0.032838,0.019791,0.051345,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,blur,ArcFace_reid_rate,500,0.086005,0.064473,0.11384,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,blur,SSIM_mean,500,0.990133,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,blur,LPIPS_mean,500,0.009332,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,pixelate,AdaFace_reid_rate,500,0.215012,0.182167,0.254164,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,pixelate,ArcFace_reid_rate,500,0.362783,0.321075,0.405029,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,pixelate,SSIM_mean,500,0.992907,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,pixelate,LPIPS_mean,500,0.007239,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,solid_mask_black,AdaFace_reid_rate,500,0.000782,0,0.007625,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,solid_mask_black,ArcFace_reid_rate,500,0.000782,0,0.007625,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,solid_mask_black,SSIM_mean,500,0.977518,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,solid_mask_black,LPIPS_mean,500,0.019534,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,layered_blur_downscale_noise,AdaFace_reid_rate,500,0.010946,0.004279,0.023193,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,layered_blur_downscale_noise,ArcFace_reid_rate,500,0.029711,0.018263,0.048904,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,layered_blur_downscale_noise,SSIM_mean,500,0.989261,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,layered_blur_downscale_noise,LPIPS_mean,500,0.00983,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,nullface,AdaFace_reid_rate,500,0.053167,0.037374,0.077427,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,nullface,ArcFace_reid_rate,500,0.083659,0.062744,0.1116,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_PROTOCOL_LEVEL_APPROXIMATION,"Wilson interval using the 500-frame protocol count; report as a bounded frame-level approximation, not a face-crop confidence interval."
RQ2,nullface,SSIM_mean,500,0.970487,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
RQ2,nullface,LPIPS_mean,500,0.025421,not_available,not_available,outputs/03_anonymisation/01_all_methods_comparison.csv,BOUNDED_NOT_COMPUTABLE,Per-frame perceptual values were not retained in the canonical summary artifact; keep out of main CI table.
