index,image_id,field,pass_1,pass_2,adjudication_rule
1,day1/members/allie/15_0479.webp,scene_understandability,high,medium,conservative_privacy_max_or_utility_min
1,day1/members/allie/15_0479.webp,visual_disruption,low,moderate_source_blur_or_occlusion,conservative_privacy_max_or_utility_min
2,day1/members/allie/20_0005.webp,activity_understandability,high,medium,conservative_privacy_max_or_utility_min
5,day1/members/bjorn/10_0697.webp,scene_understandability,high,medium,conservative_privacy_max_or_utility_min
5,day1/members/bjorn/10_0697.webp,visual_disruption,low,moderate_source_blur_or_occlusion,conservative_privacy_max_or_utility_min
6,day1/members/bjorn/13_0690.webp,activity_understandability,high,medium,conservative_privacy_max_or_utility_min
8,day1/members/bjorn/15_0160.webp,scene_understandability,high,medium,conservative_privacy_max_or_utility_min
8,day1/members/bjorn/15_0160.webp,visual_disruption,low,moderate_source_blur_or_occlusion,conservative_privacy_max_or_utility_min
9,day1/members/bjorn/15_0361.webp,scene_understandability,high,medium,conservative_privacy_max_or_utility_min
10,day1/members/bjorn/17_0553.webp,visible_face_leakage_risk,high,possible,conservative_privacy_max_or_utility_min
10,day1/members/bjorn/17_0553.webp,scene_understandability,medium,low,conservative_privacy_max_or_utility_min
10,day1/members/bjorn/17_0553.webp,activity_understandability,high,low,conservative_privacy_max_or_utility_min
10,day1/members/bjorn/17_0553.webp,visual_disruption,moderate_source_blur_or_occlusion,high_source_blur,conservative_privacy_max_or_utility_min
13,day1/members/cathal/14_0428.webp,visible_face_leakage_risk,high,possible,conservative_privacy_max_or_utility_min
17,day1/members/luca/08_0407.webp,visual_disruption,low,moderate_source_blur_or_occlusion,conservative_privacy_max_or_utility_min
19,day1/members/luca/11_0369.webp,activity_understandability,high,medium,conservative_privacy_max_or_utility_min
23,day1/members/luca/18_0714.webp,visual_disruption,low,moderate_source_blur_or_occlusion,conservative_privacy_max_or_utility_min
24,day1/members/onanong/09_0143.webp,scene_understandability,high,medium,conservative_privacy_max_or_utility_min
25,day1/members/onanong/10_0145.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
26,day1/members/onanong/10_0245.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
27,day1/members/onanong/13_0124.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
27,day1/members/onanong/13_0124.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
28,day1/members/stevan/08_0479.webp,activity_understandability,high,medium,conservative_privacy_max_or_utility_min
30,day1/members/stevan/14_0384.webp,scene_understandability,medium,low,conservative_privacy_max_or_utility_min
30,day1/members/stevan/14_0384.webp,activity_understandability,high,low,conservative_privacy_max_or_utility_min
30,day1/members/stevan/14_0384.webp,visual_disruption,moderate_source_blur_or_occlusion,high_source_blur,conservative_privacy_max_or_utility_min
37,day2/members/allie/10_0242.webp,scene_understandability,high,medium,conservative_privacy_max_or_utility_min
37,day2/members/allie/10_0242.webp,visual_disruption,low,moderate_source_blur_or_occlusion,conservative_privacy_max_or_utility_min
38,day2/members/allie/18_0721.webp,visible_face_leakage_risk,high,possible,conservative_privacy_max_or_utility_min
38,day2/members/allie/18_0721.webp,scene_understandability,medium,low,conservative_privacy_max_or_utility_min
38,day2/members/allie/18_0721.webp,activity_understandability,high,low,conservative_privacy_max_or_utility_min
