protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score,adaptive_score_delta,adaptive_win,adaptive_tie
combined_1000,cv_box_reranker_with_rfdetr_predicted_conditions,all_images,1000,2607,2627,0.9089754292516236,0.9074990483441188,0.9144610663598004,0.9109667558272831,2384,243,223,0,,0.912891286925103,0.0,False,True
combined_1000,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,all_images,1000,2607,2613,0.9070028936334608,0.9112131649445082,0.9133103183736097,0.9122605363984676,2381,232,226,0,,0.912838157536914,-5.3129388189021576e-05,False,False
combined_1000,fusion_rfdetr_scrfd10g,all_images,1000,2607,2749,0.9123384074245424,0.8741360494725354,0.9217491369390104,0.8973114264376401,2403,346,204,0,,0.9108784005670204,-0.0020128863580826106,False,False
combined_1000,cv_box_reranker_with_sliced_yolo_predicted_conditions,all_images,1000,2607,2583,0.901566830321717,0.9159891598915988,0.9075565784426544,0.9117533718689788,2366,217,241,0,,0.90944903494413,-0.0034422519809730323,False,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,all_images,1000,2607,2923,0.923907134420076,0.8313376667807048,0.9321058688147296,0.8788426763110306,2430,493,177,0,,0.9087132504854024,-0.004178036439700605,False,False
combined_1000,fixed_fusion_yolo11s1280_scrfd10g,all_images,1000,2607,2681,0.9075320885703468,0.8877284595300261,0.9129267357115458,0.9001512859304084,2380,301,227,0,,0.9072130456481096,-0.0056782412769934565,False,False
combined_1000,rfdetr_medium_face_030,all_images,1000,2607,2675,0.8758198830454986,0.8755140186915887,0.8983505945531262,0.886785308595229,2342,333,265,0,,0.8931756154774981,-0.019715671447604888,False,False
combined_1000,fusion_rfdetr_sliced_yolo11s_scrfd10g,all_images,1000,2607,3944,0.919516572490378,0.6179006085192698,0.9347909474491752,0.7440085483132346,2437,1507,170,0,,0.8554063137721996,-0.05748497315290346,False,False
combined_1000,fusion_sliced_yolo11s_yolo11s_scrfd10g,all_images,1000,2607,3711,0.9070716768595268,0.6456480732956077,0.9190640583045646,0.7584678695789807,2396,1315,211,0,,0.8515734126222729,-0.06131787430283009,False,False
combined_1000,fusion_sliced_yolo11s_scrfd10g,all_images,1000,2607,3561,0.8843696779388766,0.6599269868014602,0.9014192558496356,0.7619974059662775,2350,1211,257,0,,0.8424145664739785,-0.07047672045112452,False,False
combined_1000,sliced_yolo11s_widerface_1280,all_images,1000,2607,3493,0.7689818660274719,0.6034926996850845,0.8085922516302263,0.6911475409836066,2108,1385,499,0,,0.7587211187740572,-0.15417016815104578,False,False
