category,adaptive_detector,adaptive_oapr_detector_score,best_competitor,best_competitor_score,adaptive_margin
downward_egocentric_view,cv_box_reranker_with_rfdetr_predicted_conditions,0.8892794829201902,fusion_rfdetr_yolo11s_scrfd10g,0.8941212871537437,-0.004841804233553515
edge_or_partial_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.9117083939433698,fusion_rfdetr_scrfd10g,0.9144945989942104,-0.0027862050508405956
high_clutter,cv_box_reranker_with_rfdetr_predicted_conditions,0.9365180498465124,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.9363999614685254,0.00011808837798699123
large_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.8481805059210987,fusion_rfdetr_scrfd10g,0.8692919765402987,-0.021111470619199935
low_light_or_dim,cv_box_reranker_with_rfdetr_predicted_conditions,0.8882998862560156,fusion_rfdetr_scrfd10g,0.8880872493269728,0.00021263692904283094
medium_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.933299218516691,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.9308180062444736,0.0024812122722173147
mixed_scale_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.8923986092701761,fusion_rfdetr_yolo11s_scrfd10g,0.9024818842944662,-0.010083275024290073
motion_blur_or_low_sharpness,cv_box_reranker_with_rfdetr_predicted_conditions,0.8360702426723476,fusion_rfdetr_scrfd10g,0.8502311388669987,-0.014160896194651107
multi_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.9227469937955498,fusion_rfdetr_scrfd10g,0.9228479213878128,-0.00010092759226298931
no_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.9363957597173144,cv_box_reranker_with_sliced_yolo_predicted_conditions,0.96113074204947,-0.024734982332155653
outdoor_or_vehicle_scene,cv_box_reranker_with_rfdetr_predicted_conditions,0.9553879310344828,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.9688095238095238,-0.013421592775040958
profile_or_occluded_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.937550042403662,fusion_rfdetr_scrfd10g,0.9368472720822734,0.0007027703213886571
single_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.7917420437462857,fusion_rfdetr_yolo11s_scrfd10g,0.8113095238095238,-0.019567480063238163
small_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.9346943230776552,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.9362628839394058,-0.001568560861750612
very_small_or_distant_face,cv_box_reranker_with_rfdetr_predicted_conditions,0.8742710406922484,fusion_rfdetr_yolo11s_scrfd10g,0.8853624019495654,-0.011091361257317023
