modality,variant,split,runtime_seconds_full_250,image_count,ground_truth_region_count,predicted_region_count,tp,fp,fn,precision,recall,f1,f2,strict_iou50_precision,strict_iou50_recall,strict_iou50_f1,mean_ground_truth_area_coverage,mean_prediction_purity,image_tp,image_fp,image_fn,image_tn,image_precision,image_recall,image_f1,oapr_multimodal_score,evidence_surface,adaptive_reference,tn,adaptive_score_delta,adaptive_win,adaptive_tie
screen,yolo11n_coco_1280_conf025,test,22.421327708001627,75,42.0,54.0,28,24,14,0.5384615384615384,0.6666666666666666,0.5957446808510638,0.6363636363636364,0.5185185185185185,0.6666666666666666,0.5833333333333334,0.8429848769879636,0.5187054926373045,33.0,5.0,5.0,32.0,0.868421052631579,0.868421052631579,0.868421052631579,0.6361156573922532,held_out_test_reviewed_250_region_level,False,,-0.3096978031270896,False,False
screen,yolo11n_coco_640_conf025,test,22.42163095100113,75,42.0,50.0,26,22,16,0.5416666666666666,0.6190476190476191,0.5777777777777778,0.6018518518518519,0.52,0.6190476190476191,0.5652173913043478,0.806467319528823,0.5101238710365745,31.0,3.0,7.0,34.0,0.9117647058823528,0.8157894736842105,0.861111111111111,0.6009920634920636,held_out_test_reviewed_250_region_level,False,,-0.3448213970272792,False,False
screen,yolo11n_coco_640_1280_union,test,44.84295865900276,75,42.0,61.0,27,32,15,0.4576271186440678,0.6428571428571429,0.5346534653465347,0.5947136563876653,0.4426229508196721,0.6428571428571429,0.5242718446601943,0.8543001451394264,0.4434481447438052,33.0,6.0,5.0,31.0,0.8461538461538461,0.868421052631579,0.8571428571428572,0.5972832210581833,held_out_test_reviewed_250_region_level,False,,-0.34853023946115946,False,False
screen,yolo11n_coco_1280_conf010,test,24.243332681999163,75,42.0,91.0,29,58,13,0.3333333333333333,0.6904761904761905,0.4496124031007752,0.5686274509803921,0.3186813186813186,0.6904761904761905,0.4360902255639097,0.8730304937147638,0.3398598264263009,35.0,10.0,3.0,27.0,0.7777777777777778,0.9210526315789472,0.8433734939759038,0.594545957918051,held_out_test_reviewed_250_region_level,False,,-0.3512675026012918,False,False
screen,yolo26n_coco_640_conf025,test,23.720397427001444,75,42.0,42.0,23,17,19,0.575,0.5476190476190477,0.5609756097560975,0.5528846153846155,0.5476190476190477,0.5476190476190477,0.5476190476190477,0.778706240860751,0.6071547547196462,30.0,4.0,8.0,33.0,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.5536962833914054,held_out_test_reviewed_250_region_level,False,,-0.39211717712793737,False,False
screen,yolo11n_coco_640_1280_recall_union,test,46.6649636330003,75,42.0,89.0,27,60,15,0.3103448275862069,0.6428571428571429,0.4186046511627907,0.5294117647058824,0.3033707865168539,0.6428571428571429,0.4122137404580153,0.8779712414849412,0.3066832959810853,35.0,10.0,3.0,27.0,0.7777777777777778,0.9210526315789472,0.8433734939759038,0.5535427884064612,held_out_test_reviewed_250_region_level,False,,-0.3922706721128816,False,False
screen,yolo26n_coco_640_conf040,test,22.11748978200194,75,42.0,33.0,20,12,22,0.625,0.4761904761904761,0.5405405405405405,0.4999999999999999,0.6060606060606061,0.4761904761904761,0.5333333333333333,0.686433258826934,0.6526779136078948,28.0,1.0,10.0,36.0,0.9655172413793104,0.7368421052631579,0.835820895522388,0.5071589446589446,held_out_test_reviewed_250_region_level,False,,-0.43865451586039816,False,False
screen,yolov8n_coco_640_conf025,test,23.921103288001177,75,42.0,42.0,20,21,22,0.4878048780487805,0.4761904761904761,0.4819277108433735,0.4784688995215311,0.4761904761904761,0.4761904761904761,0.4761904761904761,0.6641970094987988,0.4866277657829329,29.0,4.0,9.0,33.0,0.8787878787878788,0.7631578947368421,0.8169014084507042,0.4787862250395309,held_out_test_reviewed_250_region_level,False,,-0.4670272354798119,False,False
screen,yolov8n_coco_1280_conf025,test,25.864501214000484,75,42.0,64.0,18,41,24,0.3050847457627119,0.4285714285714285,0.3564356435643565,0.3964757709251101,0.28125,0.4285714285714285,0.3396226415094339,0.687834533084871,0.3923039982881511,32.0,7.0,6.0,30.0,0.8205128205128205,0.8421052631578947,0.8311688311688312,0.3981888140387889,held_out_test_reviewed_250_region_level,False,,-0.5476246464805539,False,False
text,craft_recall_4k,test,307.2144323569992,75,25.0,1791.0,21,1164,4,0.0177215189873417,0.84,0.0347107438016528,0.0817120622568093,0.0055834729201563,0.4,0.0110132158590308,0.5556930457033036,0.3481269736645025,14.0,39.0,1.0,21.0,0.2641509433962264,0.9333333333333332,0.411764705882353,0.5564498378491474,held_out_test_reviewed_250_region_level,False,,-0.3893636226701954,False,False
text,craft_recall_4k_with_screen_priority,test,352.057391016002,75,25.0,873.0,19,261,6,0.0678571428571428,0.76,0.1245901639344262,0.25,0.0114547537227949,0.4,0.0222717149220489,0.5391116826274823,0.6977854248196521,13.0,35.0,2.0,25.0,0.2708333333333333,0.8666666666666667,0.4126984126984127,0.5319332552693209,held_out_test_reviewed_250_region_level,False,,-0.4138802052500219,False,False
