fixed_method,n_paired_frames,adaptive_mean,fixed_mean,adaptive_minus_fixed_mean,ci_low,ci_high,adaptive_win_count,fixed_win_count,tie_count
blur,500,0.9069905036186732,0.8833741728292924,0.0236163307893808,0.0183478391635601,0.0293708122637338,365,135,0
diffusion_low_step,500,0.9069905036186732,0.8734753363223796,0.0335151672962937,0.0302964067506759,0.0368490625738515,453,47,0
falco,500,0.9069905036186732,0.8106769135141331,0.0963135901045402,0.0926746605504818,0.0994218617910883,494,6,0
layered_blur_downscale_noise,500,0.9069905036186732,0.8897889134252596,0.0172015901934137,0.0149918035216981,0.0194942746001185,387,38,75
nullface,500,0.9069905036186732,0.8042390503023596,0.1027514533163137,0.0969073186544577,0.1089012131604191,496,4,0
pixelate,500,0.9069905036186732,0.7960566641001208,0.1109338395185525,0.0987318436964005,0.1231000602525297,462,32,6
reverse_personalization,500,0.9069905036186732,0.770951962949893,0.1360385406687804,0.1220825535569037,0.150988476269782,495,5,0
riddle,500,0.9069905036186732,0.9030561813295032,0.0039343222891699,0.000666952671678,0.0065218149072125,159,55,286
solid_mask_black,500,0.9069905036186732,0.8581546746593752,0.048835828959298,0.0456529734205489,0.0519112861354728,490,10,0
ungated_grouped_heldout_policy,500,0.9069905036186732,0.9097979498169918,-0.0028074461983184,-0.0043364690241867,-0.0014552635688442,22,53,425
