category,fixed_method,adaptive_mean,fixed_mean,adaptive_minus_fixed,adaptive_n,fixed_n,evidence_status
high_clutter,blur,0.98842653522573,0.9883258184951209,0.00010071673060907393,5,5,final_materialised_policy_category_comparison
high_clutter,diffusion_low_step,0.98842653522573,0.9818005170014331,0.00662601822429687,5,5,final_materialised_policy_category_comparison
high_clutter,falco,0.98842653522573,0.8792010120332601,0.10922552319246992,5,5,final_materialised_policy_category_comparison
high_clutter,layered_blur_downscale_noise,0.98842653522573,0.9858359877050595,0.00259054752067045,5,5,final_materialised_policy_category_comparison
high_clutter,nullface,0.98842653522573,0.8970598523374671,0.09136668288826288,5,5,final_materialised_policy_category_comparison
high_clutter,pixelate,0.98842653522573,0.9884265352257298,2.220446049250313e-16,5,5,final_materialised_policy_category_comparison
high_clutter,reverse_personalization,0.98842653522573,0.895288624599363,0.093137910626367,5,5,final_materialised_policy_category_comparison
high_clutter,riddle,0.98842653522573,0.9730782046953508,0.015348330530379206,5,5,final_materialised_policy_category_comparison
high_clutter,solid_mask_black,0.98842653522573,0.9858327540171381,0.002593781208591883,5,5,final_materialised_policy_category_comparison
large_face,blur,0.872447586172099,0.8027895444710842,0.06965804170101486,8,8,final_materialised_policy_category_comparison
large_face,diffusion_low_step,0.872447586172099,0.8405476356115433,0.03189995056055572,8,8,final_materialised_policy_category_comparison
large_face,falco,0.872447586172099,0.7817610642217844,0.09068652195031468,8,8,final_materialised_policy_category_comparison
large_face,layered_blur_downscale_noise,0.872447586172099,0.8478622380616643,0.02458534811043478,8,8,final_materialised_policy_category_comparison
large_face,nullface,0.872447586172099,0.7397090838602118,0.13273850231188722,8,8,final_materialised_policy_category_comparison
large_face,pixelate,0.872447586172099,0.6265449765982647,0.24590260957383436,8,8,final_materialised_policy_category_comparison
large_face,reverse_personalization,0.872447586172099,0.6740001240549739,0.19844746211712516,8,8,final_materialised_policy_category_comparison
large_face,riddle,0.872447586172099,0.8715552629735026,0.0008923231985964453,8,8,final_materialised_policy_category_comparison
large_face,solid_mask_black,0.872447586172099,0.8084768570637466,0.06397072910835244,8,8,final_materialised_policy_category_comparison
low_light_or_dim,blur,0.7070261668134923,0.7093693496996191,-0.0023431828861267823,2,2,final_materialised_policy_category_comparison
