method,failure_mode_or_label,count,n_sample,rate
riddle,none,86,100,0.86
riddle,implausible_eye_rendering,8,100,0.08
riddle,compositing_discontinuity,2,100,0.02
riddle,false_positive_face_insertion,2,100,0.02
riddle,geometry_blending_artifact,1,100,0.01
riddle,local_geometry_artifact,1,100,0.01
riddle,visually_plausible,86,100,0.86
falco,none,78,100,0.78
falco,expression_eye_artifact,14,100,0.14
falco,compositing_discontinuity,2,100,0.02
falco,geometry_artifact,2,100,0.02
falco,false_positive_face_insertion,2,100,0.02
falco,multi_face_blending_artifact,1,100,0.01
falco,expression_artifact,1,100,0.01
falco,visually_plausible,78,100,0.78
diffusion_low_step,author_recipe_default_route_pass,0,5,0.0
diffusion_low_step,five_case_not_ok_pose_expression_preservation,4,5,0.8
diffusion_low_step,five_case_not_ok_severe_artifact,5,5,1.0
diffusion_low_step,five_case_not_ok_blend_quality,1,5,0.2
falco,author_recipe_default_route_pass,0,5,0.0
falco,five_case_not_ok_pose_expression_preservation,5,5,1.0
falco,five_case_not_ok_severe_artifact,3,5,0.6
falco,five_case_not_ok_blend_quality,4,5,0.8
fams,author_recipe_default_route_pass,0,5,0.0
fams,five_case_not_ok_pose_expression_preservation,5,5,1.0
fams,five_case_not_ok_severe_artifact,0,5,0.0
fams,five_case_not_ok_blend_quality,5,5,1.0
nullface,author_recipe_default_route_pass,0,5,0.0
nullface,five_case_not_ok_pose_expression_preservation,3,5,0.6
nullface,five_case_not_ok_severe_artifact,2,5,0.4
nullface,five_case_not_ok_blend_quality,5,5,1.0
reverse_personalization,author_recipe_default_route_pass,0,5,0.0
reverse_personalization,five_case_not_ok_pose_expression_preservation,5,5,1.0
reverse_personalization,five_case_not_ok_severe_artifact,4,5,0.8
reverse_personalization,five_case_not_ok_blend_quality,2,5,0.4
riddle,author_recipe_default_route_pass,0,5,0.0
riddle,five_case_not_ok_pose_expression_preservation,5,5,1.0
riddle,five_case_not_ok_severe_artifact,3,5,0.6
riddle,five_case_not_ok_blend_quality,2,5,0.4
styleid,author_recipe_default_route_pass,0,5,0.0
styleid,five_case_not_ok_pose_expression_preservation,5,5,1.0
styleid,five_case_not_ok_severe_artifact,0,5,0.0
styleid,five_case_not_ok_blend_quality,5,5,1.0
