protocol_id,image_id,privacy_score,utility_score,predicted_risk_state,residual_risk_classes,adversarial_face_reid_concern,adversarial_ocr_concern,adversarial_screen_concern,vlm_proxy_any_sensitive_inference_risk,vlm_proxy_identity,vlm_proxy_text_document,vlm_proxy_screen,vlm_proxy_activity_context
MM2_0037,day1/members/werner/19_0440.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0048,day1/members/florian/08_0344.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0055,day2/members/klaus/10_0583.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0148,day3/members/florian/20_0568.webp,0.0,1.0,no_text_screen_risk,TEXT_PRESENCE_MISS|OCR_TEXT_RECOVERY_RISK,True,True,False,True,False,True,False,True
MM2_0154,day3/members/luca/09_0095.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0163,day4/members/florian/11_0697.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0184,day4/members/klaus/18_0284.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0190,day4/members/allie/08_0440.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0192,day4/members/werner/09_0063.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0194,day4/members/bjorn/09_0278.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0206,day1/members/bjorn/14_0517.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0213,day1/members/werner/08_0091.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0233,day3/members/allie/15_0345.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0240,day3/members/klaus/09_0370.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0241,day4/members/florian/10_0495.webp,1.0,1.0,no_text_screen_risk,NONE,False,False,False,False,False,False,False,False
MM2_0004,day1/members/tien/10_0531.webp,1.0,0.4519598901880506,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0014,day1/members/allie/13_0023.webp,0.9923502842353362,0.4320660607941948,screen_present,TEXT_PRESENCE_MISS|UTILITY_COLLAPSE,False,True,False,True,False,True,False,False
MM2_0016,day1/members/onanong/13_0418.webp,0.9995819345911032,0.6889202387705928,screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0051,day1/members/onanong/09_0482.webp,0.7073155441465773,0.4315358635781576,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0087,day2/members/cathal/18_0165.webp,0.9868558183622482,0.3492330138482707,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0121,day3/members/stevan/14_0173.webp,0.7138298656562851,0.4342338393351881,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0124,day3/members/stevan/14_0340.webp,0.7059452217955913,0.4633249099445037,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0131,day3/members/allie/16_0332.webp,0.9973094401695604,0.5521877210602428,screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0198,day2/members/bjorn/15_0006.webp,0.993806826278498,0.3950270187107617,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0202,day1/members/klaus/10_0156.webp,0.982236720895113,0.3617762121909813,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0219,day2/members/onanong/14_0700.webp,1.0,0.9395268828507446,screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0243,day4/members/florian/12_0627.webp,0.9998144487937162,0.4209906605803868,screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0250,day4/members/bao/09_0349.webp,0.996529495023712,0.7633362933888614,screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0015,day1/members/werner/13_0227.webp,0.9859043640485342,0.4736725162490953,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0024,day1/members/florian/15_0596.webp,0.927946239231353,0.4116089868927367,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
