index,relative_path,image_id,status,error,selected_method,applied_method,face_count,detector_policy_id,detector_requested_policy_id,detector_fallback_applied,candidate_counts,output_path,output_sha256,runtime_seconds
1,day3/members/stevan/20_0682.webp,day3__members__stevan__20_0682.webp,ok,,layered,layered,6,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 6, ""yolo11s_widerface_1280"": 6, ""scrfd_10g_current_640"": 6}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day3__members__stevan__20_0682.webp.webp,74c3a03af1abe6b325943a53681226f237228868fab8b0132ff296e84451fa77,7.6154
2,day1/members/luca/12_0078.webp,day1__members__luca__12_0078.webp,ok,,copy,copy,0,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,{},outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day1__members__luca__12_0078.webp.webp,9bdb95e26063823d34e61a810fba9ec12ca60228afdf925adbf6f2afcc7c9387,1.3378
3,day3/members/tien/14_0649.webp,day3__members__tien__14_0649.webp,ok,,layered,layered,7,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 7, ""yolo11s_widerface_1280"": 6, ""scrfd_10g_current_640"": 7}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day3__members__tien__14_0649.webp.webp,2457ce7122e12075720604f3f15a67908d8d7b4d1e057d58470bec952fe73ea8,1.4006
4,day2/members/bjorn/16_0250.webp,day2__members__bjorn__16_0250.webp,ok,,copy,copy,0,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,{},outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day2__members__bjorn__16_0250.webp.webp,74b51b63b0d4561e0c040ccf2a50cd93a4f82863441fd005e348ba38682ed001,1.4508
5,day1/members/stevan/10_0179.webp,day1__members__stevan__10_0179.webp,ok,,layered,layered,3,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 4, ""yolo11s_widerface_1280"": 3, ""scrfd_10g_current_640"": 3}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day1__members__stevan__10_0179.webp.webp,9a0e95f8f8d6030e4e6fa190ec9045e48f71e241643defd1249c7da42d2e72da,1.3634
6,day3/members/werner/08_0619.webp,day3__members__werner__08_0619.webp,ok,,layered,layered,2,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 2, ""yolo11s_widerface_1280"": 2, ""scrfd_10g_current_640"": 1}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day3__members__werner__08_0619.webp.webp,69638ca2b72a524b0a971711b6f03c9aa45eaaa35254e800ca9b929a057a9049,1.3994
7,day3/members/tien/10_0512.webp,day3__members__tien__10_0512.webp,ok,,layered,layered,1,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 1, ""yolo11s_widerface_1280"": 2, ""scrfd_10g_current_640"": 1}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day3__members__tien__10_0512.webp.webp,62605612af2d7be63164f17960a87e2e827c9fd9ba081f2896890e010a359fd7,1.3212
8,day1/members/werner/14_0048.webp,day1__members__werner__14_0048.webp,ok,,copy,copy,0,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,{},outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day1__members__werner__14_0048.webp.webp,8f9485411eeef3bb0b7d94841bb42bf9a0ed565b545e565c109d50c76d8dac00,1.3245
9,day1/members/klaus/17_0206.webp,day1__members__klaus__17_0206.webp,ok,,layered,layered,1,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 1, ""yolo11s_widerface_1280"": 1, ""scrfd_10g_current_640"": 1}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day1__members__klaus__17_0206.webp.webp,b9854a74b80ed475996fbacdb0dec40e03ded08663eb2a5abdf24b4d8b513fbe,1.412
10,day4/members/florian/11_0412.webp,day4__members__florian__11_0412.webp,ok,,layered,layered,3,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 4, ""yolo11s_widerface_1280"": 3, ""scrfd_10g_current_640"": 3}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day4__members__florian__11_0412.webp.webp,79badc7f345405e6ef440791c9f32e09efa149ab02d592ba0e4af9830f23bcac,1.4936
11,day1/members/allie/18_0412.webp,day1__members__allie__18_0412.webp,ok,,layered,layered,3,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 3, ""yolo11s_widerface_1280"": 3, ""scrfd_10g_current_640"": 3}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day1__members__allie__18_0412.webp.webp,d57ae57037d2e4dbe10ac938de33cbd686fd36cc54654a4a9d434da2117f1bfa,1.4351
12,day2/members/klaus/18_0601.webp,day2__members__klaus__18_0601.webp,ok,,layered,layered,2,runtime_3_source_all_raw_rf_approximation,runtime_3_source_all_raw_rf_approximation,False,"{""rfdetr_medium_face_030"": 2, ""yolo11s_widerface_1280"": 2, ""scrfd_10g_current_640"": 2}",outputs/10_final_enhancement_evaluation/05_integrated_policy_subset/anonymised/day2__members__klaus__18_0601.webp.webp,770b2a643b1aa5027ad4dd45f9c84f82372c8bf4f0594399323f3c35dfc82652,1.4504
