index,relative_path,image_id,scientific_selected_method,selection_reason,app_applied_method,face_count_live,detector_application_policy_id,status,error,output_path,output_sha256,runtime_seconds,candidate_counts
1,day3/members/stevan/20_0682.webp,day3__members__stevan__20_0682.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_mixed_scale_face,layered,6,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day3__members__stevan__20_0682.webp.webp,74c3a03af1abe6b325943a53681226f237228868fab8b0132ff296e84451fa77,8.2416,"{""rfdetr_medium_face_030"": 6, ""yolo11s_widerface_1280"": 6, ""scrfd_10g_current_640"": 6}"
2,day1/members/luca/12_0078.webp,day1__members__luca__12_0078.webp,no_action_copy,condition_profiler_and_detector_safety_gate_confirm_no_face,copy,0,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day1__members__luca__12_0078.webp.webp,9bdb95e26063823d34e61a810fba9ec12ca60228afdf925adbf6f2afcc7c9387,1.8228,{}
3,day3/members/tien/14_0649.webp,day3__members__tien__14_0649.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_mixed_scale_face,layered,7,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day3__members__tien__14_0649.webp.webp,2457ce7122e12075720604f3f15a67908d8d7b4d1e057d58470bec952fe73ea8,1.8438,"{""rfdetr_medium_face_030"": 7, ""yolo11s_widerface_1280"": 6, ""scrfd_10g_current_640"": 7}"
4,day2/members/bjorn/16_0250.webp,day2__members__bjorn__16_0250.webp,no_action_copy,condition_profiler_and_detector_safety_gate_confirm_no_face,copy,0,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day2__members__bjorn__16_0250.webp.webp,74b51b63b0d4561e0c040ccf2a50cd93a4f82863441fd005e348ba38682ed001,1.5717,{}
5,day1/members/stevan/10_0179.webp,day1__members__stevan__10_0179.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_medium_face,layered,3,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day1__members__stevan__10_0179.webp.webp,9a0e95f8f8d6030e4e6fa190ec9045e48f71e241643defd1249c7da42d2e72da,1.5376,"{""rfdetr_medium_face_030"": 4, ""yolo11s_widerface_1280"": 3, ""scrfd_10g_current_640"": 3}"
6,day3/members/werner/08_0619.webp,day3__members__werner__08_0619.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_medium_face,layered,2,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day3__members__werner__08_0619.webp.webp,69638ca2b72a524b0a971711b6f03c9aa45eaaa35254e800ca9b929a057a9049,1.553,"{""rfdetr_medium_face_030"": 2, ""yolo11s_widerface_1280"": 2, ""scrfd_10g_current_640"": 1}"
7,day3/members/tien/10_0512.webp,day3__members__tien__10_0512.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_motion_blur_or_low_sharpness,layered,1,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day3__members__tien__10_0512.webp.webp,62605612af2d7be63164f17960a87e2e827c9fd9ba081f2896890e010a359fd7,1.4235,"{""rfdetr_medium_face_030"": 1, ""yolo11s_widerface_1280"": 2, ""scrfd_10g_current_640"": 1}"
8,day1/members/werner/14_0048.webp,day1__members__werner__14_0048.webp,no_action_copy,condition_profiler_and_detector_safety_gate_confirm_no_face,copy,0,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day1__members__werner__14_0048.webp.webp,8f9485411eeef3bb0b7d94841bb42bf9a0ed565b545e565c109d50c76d8dac00,1.4366,{}
9,day1/members/klaus/17_0206.webp,day1__members__klaus__17_0206.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_medium_face,layered,1,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day1__members__klaus__17_0206.webp.webp,b9854a74b80ed475996fbacdb0dec40e03ded08663eb2a5abdf24b4d8b513fbe,1.7157,"{""rfdetr_medium_face_030"": 1, ""yolo11s_widerface_1280"": 1, ""scrfd_10g_current_640"": 1}"
10,day4/members/florian/11_0412.webp,day4__members__florian__11_0412.webp,layered_blur_downscale_noise,highest_balanced_oapr_anonymisation_score_for_small_face,layered,3,runtime_3_source_all_raw_rf_approximation,ok,,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/anonymised/day4__members__florian__11_0412.webp.webp,79badc7f345405e6ef440791c9f32e09efa149ab02d592ba0e4af9830f23bcac,1.6097,"{""rfdetr_medium_face_030"": 4, ""yolo11s_widerface_1280"": 3, ""scrfd_10g_current_640"": 3}"
